"id","nume_generate","prenume_generate","genuri","emails_generate","numere_telefon_generate","sucursale_generate","functii_generate","salariu_mediu_values"
907,"NECHITA","Anda","F","Anda.NECHITA@yahoo.com","0780058347","6","75",4762
908,"SABAU","Aida","F","Aida.SABAU@gmail.com","0760989246","1","17",2906
909,"STANCIU","Corneliu","M","Corneliu.STANCIU@yahoo.com","0742960283","1","64",5832
910,"CAZACU","Agripina","F","Agripina.CAZACU@gmail.com","0766299018","3","7",2066
911,"MARTIN","Ludmila","F","Ludmila.MARTIN@yahoo.com","0787009034","3","66",5534
912,"STAN","Bogdan","M","Bogdan.STAN@gmail.com","0733205250","1","38",2981
913,"MANOLE","Norica","F","Norica.MANOLE@gmail.com","0746993061","2","81",5538
914,"URSU","Consuela","F","Consuela.URSU@yahoo.com","0702941860","1","18",2434
915,"ISPAS","Niculiță","M","Niculiță.ISPAS@yahoo.com","0765070752","6","18",2429
916,"SIMIONESCU","Teofil","M","Teofil.SIMIONESCU@yahoo.com","0765643581","8","55",4989
917,"BOTEZATU","Otilia","F","Otilia.BOTEZATU@yahoo.com","0716141004","1","43",4958
918,"MAFTEI","Sanda","F","Sanda.MAFTEI@yahoo.com","0740698912","4","88",6065
919,"SUCIU","Casandra","F","Casandra.SUCIU@yahoo.com","0719093783","2","82",7917
920,"COMAN","Aurora","F","Aurora.COMAN@yahoo.com","0700245805","1","21",3129
921,"OANCEA","Jenel","M","Jenel.OANCEA@yahoo.com","0752268397","1","78",6861
922,"VERES","Angelica","F","Angelica.VERES@gmail.com","0752331106","6","81",5625
923,"CONSTANTINESCU","Ladislau","M","Ladislau.CONSTANTINESCU@gmail.com","0793884784","6","91",10417
924,"OLTEAN","Pamfil","M","Pamfil.OLTEAN@yahoo.com","0726373690","7","76",6264
925,"DOGARU","Monica","F","Monica.DOGARU@yahoo.com","0777010730","3","3",2317
926,"VARGA","Aureliana","F","Aureliana.VARGA@yahoo.com","0768348698","7","59",4857
927,"TUDOSE","Estera","F","Estera.TUDOSE@gmail.com","0735474069","1","38",2655
928,"MARIAN","Teodosia","F","Teodosia.MARIAN@yahoo.com","0728524778","6","61",4978
929,"COSTACHE","Ivona","F","Ivona.COSTACHE@yahoo.com","0710205877","1","49",6065
930,"DUMITRIU","Constanța","F","Constanța.DUMITRIU@gmail.com","0717645177","2","77",4669
931,"DAMIAN","Fausta","F","Fausta.DAMIAN@yahoo.com","0734406439","1","30",1993
932,"MIHAI","Ghenadie","M","Ghenadie.MIHAI@yahoo.com","0738986971","3","68",3104
933,"LUCA","Sinică","M","Sinică.LUCA@gmail.com","0722317797","1","74",3983
934,"MARGINEAN","Otilia","F","Otilia.MARGINEAN@yahoo.com","0756056090","7","18",2420
935,"DAVID","Gențiana","F","Gențiana.DAVID@yahoo.com","0778035095","2","35",3172
936,"GRIGORAS","Romeo","M","Romeo.GRIGORAS@gmail.com","0757330795","3","28",2761
937,"RUS","Ilarie","M","Ilarie.RUS@gmail.com","0768967268","3","6",2173
938,"OLARIU","Raul","M","Raul.OLARIU@yahoo.com","0712431598","1","30",1994
939,"NEAMTU","Gherasim","M","Gherasim.NEAMTU@yahoo.com","0763875809","4","55",5023
940,"VASILE","Dorin","M","Dorin.VASILE@yahoo.com","0776440464","4","72",5868
941,"IANCU","Petrică","M","Petrică.IANCU@yahoo.com","0713818856","6","76",6087
942,"PAVEL","Natașa","F","Natașa.PAVEL@yahoo.com","0764551168","4","14",2368
943,"COSTACHE","Cezar","M","Cezar.COSTACHE@yahoo.com","0750752983","8","66",5647
944,"DRAGHICI","Iosefina","F","Iosefina.DRAGHICI@yahoo.com","0768599756","8","93",7154
945,"ALEXA","Grațian","M","Grațian.ALEXA@yahoo.com","0767022504","2","38",2763
946,"MIU","Dinu","M","Dinu.MIU@yahoo.com","0759008371","8","75",4534
947,"SIMIONESCU","Ovidiu","M","Ovidiu.SIMIONESCU@yahoo.com","0758743234","2","75",5015
948,"GRIGORESCU","Miranda","F","Miranda.GRIGORESCU@gmail.com","0772724464","6","21",3116
949,"STROE","Selina","F","Selina.STROE@yahoo.com","0712033579","8","54",3015
950,"MARIAN","Carla","F","Carla.MARIAN@gmail.com","0798706319","5","90",7930
951,"PIRVU","Marin","M","Marin.PIRVU@yahoo.com","0708545667","6","46",5530
952,"NISTOR","Venera","F","Venera.NISTOR@yahoo.com","0759582954","1","11",2507
953,"SAVU","Eva","F","Eva.SAVU@gmail.com","0704003708","2","11",2475
954,"GAVRILA","Selina","F","Selina.GAVRILA@yahoo.com","0708229538","3","86",6416
955,"PINTEA","Caius","M","Caius.PINTEA@gmail.com","0770423720","3","18",2438
956,"TUDORACHE","Decebal","M","Decebal.TUDORACHE@yahoo.com","0732593039","8","37",2638
957,"CRISTEA","Marcu","M","Marcu.CRISTEA@yahoo.com","0794644653","8","65",5887
958,"CRISTESCU","Anda","F","Anda.CRISTESCU@gmail.com","0792566894","1","23",3185
959,"PASCU","Filip","M","Filip.PASCU@yahoo.com","0776282396","6","78",6802
960,"MILEA","Panagachie","M","Panagachie.MILEA@gmail.com","0752913818","1","78",6951
961,"ISPAS","Elena","F","Elena.ISPAS@gmail.com","0799578037","4","60",4335
962,"STOICA","Titus","M","Titus.STOICA@yahoo.com","0704480314","1","30",1998
963,"DRAGOI","Reghina","F","Reghina.DRAGOI@yahoo.com","0707998317","6","38",2852
964,"BARBU","Constantin","M","Constantin.BARBU@gmail.com","0759152752","2","92",9861
965,"PAVEL","Matei","M","Matei.PAVEL@yahoo.com","0776484434","6","62",5312
966,"DAVID","Petruț","M","Petruț.DAVID@gmail.com","0741904139","4","82",6753
967,"STAN","Rafael","M","Rafael.STAN@gmail.com","0734033690","7","82",8089
968,"TAMAS","Silvian","M","Silvian.TAMAS@yahoo.com","0720771588","8","20",2908
969,"CRISTEA","Rodica","F","Rodica.CRISTEA@yahoo.com","0778164212","4","88",6065
970,"BALINT","Glorița","F","Glorița.BALINT@yahoo.com","0702514974","5","24",2648
971,"DAVID","Paulina","F","Paulina.DAVID@yahoo.com","0717321506","1","45",4641
972,"BURLACU","Ioanina","F","Ioanina.BURLACU@yahoo.com","0715679698","4","9",2316
973,"DOBRE","Amelia","F","Amelia.DOBRE@yahoo.com","0777985682","4","19",2637
974,"PATRASCU","Livia","F","Livia.PATRASCU@yahoo.com","0718759385","5","34",2001
975,"CORNEA","Carla","F","Carla.CORNEA@gmail.com","0773189199","6","48",5645
976,"SOARE","Grațian","M","Grațian.SOARE@yahoo.com","0790806780","4","30",1990
977,"GABOR","Natașa","F","Natașa.GABOR@yahoo.com","0738223591","1","19",2521
978,"ALEXANDRESCU","Steluța","F","Steluța.ALEXANDRESCU@yahoo.com","0790953685","1","34",1990
979,"MIHAILESCU","Vasile","M","Vasile.MIHAILESCU@yahoo.com","0728447404","6","74",3948
980,"POP","Stelian","M","Stelian.POP@yahoo.com","0776601907","7","4",2094
981,"BARBU","Andreea","F","Andreea.BARBU@yahoo.com","0756602444","6","8",2109
982,"VASILESCU","Benone","M","Benone.VASILESCU@yahoo.com","0791225749","1","77",4454
983,"TRANDAFIR","Teohari","M","Teohari.TRANDAFIR@yahoo.com","0706310008","7","9",2276
984,"TUDORACHE","Sonia","F","Sonia.TUDORACHE@gmail.com","0760021592","5","14",2380
985,"DIACONESCU","Anamaria","F","Anamaria.DIACONESCU@yahoo.com","0793616311","8","4",2063
986,"MIHALACHE","Bogdan","M","Bogdan.MIHALACHE@yahoo.com","0789081866","8","55",5111
987,"MIHAILA","Alexandra","F","Alexandra.MIHAILA@yahoo.com","0775381164","1","63",5664
988,"ENE","Sever","M","Sever.ENE@yahoo.com","0742101661","2","39",3114
989,"GHITA","Măriuca","F","Măriuca.GHITA@yahoo.com","0736646254","6","87",5820
990,"VOICU","Melina","F","Melina.VOICU@yahoo.com","0767353367","1","79",4852
991,"MIHALCEA","Arina","F","Arina.MIHALCEA@yahoo.com","0794955483","5","90",7930
992,"MIHAILA","Augustin","M","Augustin.MIHAILA@yahoo.com","0752223133","2","27",2253
993,"SZILAGYI","Teea","F","Teea.SZILAGYI@yahoo.com","0720551530","4","16",2704
994,"BARBU","Aida","F","Aida.BARBU@yahoo.com","0713697994","1","68",3104
995,"GRIGORESCU","Brăduț","M","Brăduț.GRIGORESCU@yahoo.com","0746612329","5","86",6326
996,"MOCANU","Moise","M","Moise.MOCANU@yahoo.com","0774938047","5","10",2751
997,"PIRVU","Elisabeta","F","Elisabeta.PIRVU@yahoo.com","0708283930","1","38",2754
998,"SAVU","Demetra","F","Demetra.SAVU@yahoo.com","0734328609","1","34",2001
999,"CIOBANU","Măriuca","F","Măriuca.CIOBANU@yahoo.com","0777603514","2","71",4495
1000,"RADOI","Ariana","F","Ariana.RADOI@yahoo.com","0728982125","1","88",6065
1001,"CROITORU","Giorgian","M","Giorgian.CROITORU@yahoo.com","0782294408","8","87",5788
1002,"GRIGORE","Brăduț","M","Brăduț.GRIGORE@yahoo.com","0723423869","3","33",2213
1003,"CRACIUN","Ducu","M","Ducu.CRACIUN@yahoo.com","0789696704","6","43",5068
1004,"NITA","Cristinel","M","Cristinel.NITA@yahoo.com","0762216162","7","7",2063
1005,"IORGA","Zaharia","M","Zaharia.IORGA@yahoo.com","0722821998","3","37",2862
1006,"NICULESCU","Anghelina","F","Anghelina.NICULESCU@yahoo.com","0790981970","6","29",2004
1007,"IACOB","Leordean","M","Leordean.IACOB@yahoo.com","0795790637","1","91",10576
1008,"GROZA","Igor","M","Igor.GROZA@yahoo.com","0741012646","1","32",2320
1009,"NISTOR","Andrada","F","Andrada.NISTOR@yahoo.com","0758340344","3","61",4978
1010,"PETRESCU","Camelia","F","Camelia.PETRESCU@yahoo.com","0712898140","8","60",4417
1011,"COJOCARU","Marioara","F","Marioara.COJOCARU@yahoo.com","0759492996","4","33",2213
1012,"MUNTEANU","Brăduț","M","Brăduț.MUNTEANU@yahoo.com","0772218192","8","4",2092
1013,"NEAGU","Ianis","M","Ianis.NEAGU@yahoo.com","0744450769","3","92",9861
1014,"IGNAT","Marcheta","F","Marcheta.IGNAT@yahoo.com","0795416788","2","44",6788
1015,"FILIP","Titus","M","Titus.FILIP@gmail.com","0743652100","2","54",3036
1016,"UNGUREANU","Florin","M","Florin.UNGUREANU@yahoo.com","0718442363","3","32",2310
1017,"ADAM","Cleopatra","F","Cleopatra.ADAM@yahoo.com","0752242017","6","14",2383
1018,"MIRON","Visarion","M","Visarion.MIRON@gmail.com","0706247199","5","44",5939
1019,"STOIAN","Petruț","M","Petruț.STOIAN@yahoo.com","0715797287","3","51",4791
1020,"VERES","Flora","F","Flora.VERES@gmail.com","0761069425","3","49",6020
1021,"PATRASCU","Tamara","F","Tamara.PATRASCU@yahoo.com","0759020184","5","22",3140
1022,"MILITARU","Ioniță","M","Ioniță.MILITARU@yahoo.com","0725304957","3","34",1993
1023,"NICOLESCU","Marinel","M","Marinel.NICOLESCU@yahoo.com","0759608631","6","59",5388
1024,"UNGUREANU","Nicoleta","F","Nicoleta.UNGUREANU@gmail.com","0790765211","1","70",3982
1025,"LUPU","Adi","M","Adi.LUPU@gmail.com","0798375404","1","56",5063
1026,"MORARU","Florentin","M","Florentin.MORARU@yahoo.com","0780995276","3","20",3054
1027,"BARBU","Jan","M","Jan.BARBU@yahoo.com","0747873833","2","42",3020
1028,"MUNTEAN","Zaharia","M","Zaharia.MUNTEAN@yahoo.com","0793434585","3","42",2890
1029,"URSU","Mia","F","Mia.URSU@yahoo.com","0754563153","4","15",2172
1030,"RADU","Ramona","F","Ramona.RADU@yahoo.com","0715288911","1","75",4760
1031,"IANCU","Iris","F","Iris.IANCU@gmail.com","0764809972","7","57",5184
1032,"ALDEA","Laura","F","Laura.ALDEA@yahoo.com","0726230561","1","8",2116
1033,"ALEXE","Edmond","M","Edmond.ALEXE@yahoo.com","0726836567","3","33",2213
1034,"RADULESCU","Vicenția","F","Vicenția.RADULESCU@yahoo.com","0704470372","4","19",2636
1035,"NEAGU","Antonela","F","Antonela.NEAGU@yahoo.com","0719951975","5","33",2213
1036,"PINTEA","Steliana","F","Steliana.PINTEA@yahoo.com","0764490360","8","87",6064
1037,"VARGA","Francisc","M","Francisc.VARGA@yahoo.com","0785916792","7","55",4970
1038,"PADURARU","Stela","F","Stela.PADURARU@yahoo.com","0754287300","4","55",5159
1039,"TRIF","Pompiliu","M","Pompiliu.TRIF@yahoo.com","0756873125","4","93",7071
1040,"BACIU","Decebal","M","Decebal.BACIU@yahoo.com","0767658598","6","49",5395
1041,"PETCU","Mărioara","F","Mărioara.PETCU@yahoo.com","0711383849","5","92",9861
1042,"SIMIONESCU","Valeriu","M","Valeriu.SIMIONESCU@yahoo.com","0765227796","7","72",5555
1043,"CIOCAN","Claudiu","M","Claudiu.CIOCAN@yahoo.com","0795297050","6","47",5391
1044,"DOBRESCU","Costache","M","Costache.DOBRESCU@yahoo.com","0732973650","2","26",3880
1045,"MACOVEI","Teodora","F","Teodora.MACOVEI@yahoo.com","0712441190","1","31",2012
1046,"CHIRITA","Bucur","M","Bucur.CHIRITA@yahoo.com","0709740372","1","63",5664
1047,"IACOB","Emanuil","M","Emanuil.IACOB@gmail.com","0778571851","6","23",3484
1048,"STEFAN","Despina","F","Despina.STEFAN@gmail.com","0749086330","4","53",5739
1049,"SZABO","Estera","F","Estera.SZABO@yahoo.com","0731498753","8","76",6559
1050,"STANCIU","Gianina","F","Gianina.STANCIU@gmail.com","0798005501","6","14",2402
1051,"COVACI","Visarion","M","Visarion.COVACI@gmail.com","0771142428","7","75",4510
1052,"UNGUREANU","Irina","F","Irina.UNGUREANU@yahoo.com","0751033519","1","71",4437
1053,"DINU","Joița","F","Joița.DINU@yahoo.com","0763972184","7","2",2819
1054,"DAMIAN","Cristobal","M","Cristobal.DAMIAN@yahoo.com","0770972876","5","69",3661
1055,"DRAGAN","Virgil","M","Virgil.DRAGAN@yahoo.com","0754102115","2","11",2416
1056,"DIMA","Cerasela","F","Cerasela.DIMA@yahoo.com","0716798655","8","8",2138
1057,"ION","Cornelia","F","Cornelia.ION@yahoo.com","0713476088","7","76",6268
1058,"MIHAILA","Robert","M","Robert.MIHAILA@gmail.com","0749680844","8","42",2714
1059,"DUMITRASCU","Lenuța","F","Lenuța.DUMITRASCU@yahoo.com","0786091962","8","65",5827
1060,"BALAN","Clementina","F","Clementina.BALAN@yahoo.com","0784677493","4","11",2421
1061,"DRAGHICI","Iolanda","F","Iolanda.DRAGHICI@yahoo.com","0760888605","1","66",5487
1062,"TURCU","Denisa","F","Denisa.TURCU@yahoo.com","0771119667","8","35",3172
1063,"MURESAN","David","M","David.MURESAN@yahoo.com","0744599143","5","77",4933
1064,"IVASCU","Pulcheria","F","Pulcheria.IVASCU@yahoo.com","0746737961","7","21",3134
1065,"MURESAN","Todor","M","Todor.MURESAN@gmail.com","0744713496","6","65",5885
1066,"MICU","Janeta","F","Janeta.MICU@gmail.com","0757529449","1","24",2643
1067,"DUMITRESCU","Pompiliu","M","Pompiliu.DUMITRESCU@yahoo.com","0759787641","7","62",5199
1068,"DRAGOMIR","Romi","M","Romi.DRAGOMIR@yahoo.com","0745467136","4","91",9911
1069,"CRISTESCU","Iancu","M","Iancu.CRISTESCU@yahoo.com","0769034689","4","26",3693
1070,"NICULESCU","Mitruț","M","Mitruț.NICULESCU@yahoo.com","0710511357","1","9",2349
1071,"TAMAS","Olimpian","M","Olimpian.TAMAS@yahoo.com","0707506289","3","94",9331
1072,"OANCEA","Narcis","M","Narcis.OANCEA@yahoo.com","0744366561","1","82",8139
1073,"VISAN","Dimitrina","F","Dimitrina.VISAN@yahoo.com","0724733181","6","11",2459
1074,"ZAHARIA","Octav","M","Octav.ZAHARIA@yahoo.com","0743261814","6","79",4683
1075,"MAN","Marius","M","Marius.MAN@yahoo.com","0707754083","7","9",2331
1076,"CHIVU","Sandra","F","Sandra.CHIVU@gmail.com","0767575745","3","46",7599
1077,"PAVEL","Janina","F","Janina.PAVEL@yahoo.com","0755140885","2","50",5276
1078,"SANDU","Matilda","F","Matilda.SANDU@yahoo.com","0731603614","1","32",2334
1079,"CONSTANTIN","Celia","F","Celia.CONSTANTIN@yahoo.com","0737407969","4","18",2456
1080,"ACHIM","Dominic","M","Dominic.ACHIM@yahoo.com","0729759194","5","45",4582
1081,"GRIGORE","Anda","F","Anda.GRIGORE@gmail.com","0744207699","5","17",2857
1082,"MARCUS","Safina","F","Safina.MARCUS@yahoo.com","0748041406","3","70",4028
1083,"SARBU","Florența","F","Florența.SARBU@yahoo.com","0796176961","1","13",2627
1084,"DOBRE","Antoniu","M","Antoniu.DOBRE@yahoo.com","0796564860","6","24",2667
1085,"SIMA","Lorelei","F","Lorelei.SIMA@yahoo.com","0771023085","5","48",5292
1086,"GRECU","Dimitrie","M","Dimitrie.GRECU@yahoo.com","0723093908","1","49",5667
1087,"SZILAGYI","Silviu","M","Silviu.SZILAGYI@gmail.com","0719145837","5","26",3891
1088,"ANDREI","Marian","M","Marian.ANDREI@yahoo.com","0701680797","8","77",4722
1089,"BACIU","Mirabela","F","Mirabela.BACIU@yahoo.com","0791179760","5","86",6415
1090,"MAZILU","Pamfil","M","Pamfil.MAZILU@gmail.com","0735234825","1","9",2269
1091,"TEODORESCU","Avram","M","Avram.TEODORESCU@yahoo.com","0783008942","6","2",2708
1092,"CRISAN","Lorelei","F","Lorelei.CRISAN@yahoo.com","0728139947","4","24",2664
1093,"MILITARU","Mara","F","Mara.MILITARU@yahoo.com","0785159309","3","15",2170
1094,"SIMON","Lenuța","F","Lenuța.SIMON@yahoo.com","0739645283","5","68",3104
1095,"PINTILIE","Olga","F","Olga.PINTILIE@yahoo.com","0726573966","3","13",2600
1096,"CHIVU","Răzvan","M","Răzvan.CHIVU@yahoo.com","0735557350","2","73",3802
1097,"BADEA","Ivan","M","Ivan.BADEA@yahoo.com","0739671936","6","53",5969
1098,"STEFANESCU","Luciana","F","Luciana.STEFANESCU@gmail.com","0787090110","7","51",4511
1099,"GHITA","Eustațiu","M","Eustațiu.GHITA@yahoo.com","0719280229","3","86",6435
1100,"ROSCA","Zeno","M","Zeno.ROSCA@yahoo.com","0756296306","3","47",5395
1101,"DINU","Petria","F","Petria.DINU@yahoo.com","0778631046","4","34",1996
1102,"NECHITA","Margareta","F","Margareta.NECHITA@yahoo.com","0715815698","1","33",2213
1103,"ROMAN","Stana","F","Stana.ROMAN@yahoo.com","0713025632","7","94",9331
1104,"ALDEA","Hortensia","F","Hortensia.ALDEA@yahoo.com","0733180609","7","28",2757
1105,"NICULAE","Veta","F","Veta.NICULAE@yahoo.com","0719295010","1","91",10148
1106,"PANAIT","Costică","M","Costică.PANAIT@yahoo.com","0766999264","3","65",5814
1107,"BUDA","Ozana","F","Ozana.BUDA@yahoo.com","0763692843","1","40",5357
1108,"LUCA","Marcu","M","Marcu.LUCA@yahoo.com","0764608843","7","74",3965
1109,"ENACHE","Teona","F","Teona.ENACHE@yahoo.com","0700443041","5","88",6065
1110,"OLARIU","Lavinia","F","Lavinia.OLARIU@yahoo.com","0758186521","6","31",2004
1111,"VERES","Romina","F","Romina.VERES@yahoo.com","0700318464","1","47",7243
1112,"CROITORU","Sânziana","F","Sânziana.CROITORU@gmail.com","0723178073","1","72",5478
1113,"NICOLESCU","Ruxandra","F","Ruxandra.NICOLESCU@yahoo.com","0700236428","2","19",2574
1114,"VISAN","Aura","F","Aura.VISAN@yahoo.com","0709292555","3","19",2634
1115,"STANCU","Mona","F","Mona.STANCU@yahoo.com","0796408906","3","69",3652
1116,"GHITA","Petrișor","M","Petrișor.GHITA@yahoo.com","0776847646","8","38",2792
1117,"MIHAILA","Sodica","F","Sodica.MIHAILA@yahoo.com","0778615786","7","18",2441
1118,"MOLNAR","Ieremia","M","Ieremia.MOLNAR@yahoo.com","0797428887","8","56",4997
1119,"BACIU","Marcel","M","Marcel.BACIU@yahoo.com","0753106732","6","28",2749
1120,"POPOVICI","Ilarie","M","Ilarie.POPOVICI@yahoo.com","0751889285","5","58",4607
1121,"MOGA","Măriuca","F","Măriuca.MOGA@yahoo.com","0714862007","2","66",5477
1122,"COSTEA","Antonia","F","Antonia.COSTEA@gmail.com","0785312551","2","21",3175
1123,"GHITA","Robert","M","Robert.GHITA@yahoo.com","0732033172","7","4",2085
1124,"ENE","Clara","F","Clara.ENE@yahoo.com","0741736330","5","60",4741
1125,"HORVATH","Vincențiu","M","Vincențiu.HORVATH@yahoo.com","0749306622","1","3",2389
1126,"MOLDOVEANU","Simi","M","Simi.MOLDOVEANU@yahoo.com","0797645154","7","33",2213
1127,"TUDOR","Gregorian","M","Gregorian.TUDOR@gmail.com","0757351902","7","11",2445
1128,"ANTAL","Bebe","M","Bebe.ANTAL@gmail.com","0772301762","7","62",5223
1129,"MARCUS","Rada","F","Rada.MARCUS@yahoo.com","0754214784","1","3",2470
1130,"CAZACU","Selina","F","Selina.CAZACU@gmail.com","0740288610","2","1",1993
1131,"STEFANESCU","Emilian","M","Emilian.STEFANESCU@yahoo.com","0761612505","2","74",3960
1132,"FLOREA","Barbu","M","Barbu.FLOREA@yahoo.com","0731184635","1","55",5357
1133,"DOBRE","Octaviu","M","Octaviu.DOBRE@yahoo.com","0705382489","1","23",3285
1134,"GRIGORE","Lascăr","M","Lascăr.GRIGORE@yahoo.com","0708151592","2","32",2349
1135,"SOARE","Horațiu","M","Horațiu.SOARE@yahoo.com","0779060407","3","73",3764
1136,"RADU","Simion","M","Simion.RADU@gmail.com","0721282773","1","42",2700
1137,"VASILE","Sabin","M","Sabin.VASILE@yahoo.com","0730833838","5","78",6850
1138,"MURESAN","Severina","F","Severina.MURESAN@yahoo.com","0787302299","3","56",5008
1139,"COSTEA","Ionelia","F","Ionelia.COSTEA@yahoo.com","0763265250","6","6",2173
1140,"ICHIM","Ducu","M","Ducu.ICHIM@yahoo.com","0709353399","1","64",5820
1141,"MIRCEA","Teodosia","F","Teodosia.MIRCEA@yahoo.com","0711885262","4","12",2506
1142,"COSTEA","Saveta","F","Saveta.COSTEA@yahoo.com","0741153711","7","65",5896
1143,"CRETU","Relu","M","Relu.CRETU@yahoo.com","0728740998","5","2",2679
1144,"DIACONESCU","Tinca","F","Tinca.DIACONESCU@gmail.com","0706731276","6","44",5820
1145,"OLARIU","Heracleea","F","Heracleea.OLARIU@gmail.com","0711405883","8","52",4101
1146,"PARVU","Livia","F","Livia.PARVU@yahoo.com","0771075021","6","41",4266
1147,"SABAU","Nicușor","M","Nicușor.SABAU@yahoo.com","0766571755","3","68",3104
1148,"CHIS","Aurică","M","Aurică.CHIS@yahoo.com","0732858174","7","62",5245
1149,"GEORGESCU","Robertina","F","Robertina.GEORGESCU@yahoo.com","0728147755","1","24",2674
1150,"BALINT","Catrinel","F","Catrinel.BALINT@yahoo.com","0799879084","7","51",4571
1151,"MIHAILESCU","Ruxanda","F","Ruxanda.MIHAILESCU@yahoo.com","0774843449","4","77",4702
1152,"OLTEANU","Ionela","F","Ionela.OLTEANU@yahoo.com","0779989649","7","80",3825
1153,"MARIN","Barbu","M","Barbu.MARIN@yahoo.com","0717094755","3","68",3104
1154,"GRIGORAS","Chira","F","Chira.GRIGORAS@yahoo.com","0706011897","4","85",7976
1155,"ACHIM","Nicolaie","M","Nicolaie.ACHIM@yahoo.com","0788430819","4","76",6051
1156,"BUDA","Rita","F","Rita.BUDA@yahoo.com","0767384844","6","65",5876
1157,"ANTAL","Silvana","F","Silvana.ANTAL@yahoo.com","0799488229","4","47",6343
1158,"NEAGOE","Georgel","M","Georgel.NEAGOE@yahoo.com","0704092273","8","63",5664
1159,"BURLACU","Dionisie","M","Dionisie.BURLACU@yahoo.com","0776398545","8","90",7930
1160,"VLAD","Romina","F","Romina.VLAD@gmail.com","0731292328","7","68",3104
1161,"PINTILIE","Titus","M","Titus.PINTILIE@yahoo.com","0793203056","7","39",3165
1162,"BARBU","Estera","F","Estera.BARBU@yahoo.com","0762010655","8","42",2735
1163,"STAICU","Leontina","F","Leontina.STAICU@yahoo.com","0723450525","2","8",2111
1164,"NEGREA","Ionuța","F","Ionuța.NEGREA@yahoo.com","0738865304","1","74",4005
1165,"FRATILA","Larisa","F","Larisa.FRATILA@yahoo.com","0719533755","3","1",2022
1166,"STEFANESCU","Faust","M","Faust.STEFANESCU@gmail.com","0764932303","7","74",3912
1167,"CHIVU","Izaura","F","Izaura.CHIVU@yahoo.com","0765423271","5","59",5284
1168,"SABAU","Gheorghe","M","Gheorghe.SABAU@gmail.com","0737355894","4","60",4730
1169,"BANU","Faust","M","Faust.BANU@yahoo.com","0701935998","6","33",2213
1170,"GABOR","Nora","F","Nora.GABOR@yahoo.com","0714121688","4","86",6346
1171,"VASILE","Măriuca","F","Măriuca.VASILE@yahoo.com","0771908920","6","23",3633
1172,"LAZAR","Amza","M","Amza.LAZAR@yahoo.com","0745438610","7","14",2384
1173,"DASCALU","Dragoș","M","Dragoș.DASCALU@yahoo.com","0745509007","8","37",2582
1174,"ALEXE","Valentina","F","Valentina.ALEXE@yahoo.com","0716374933","3","23",3125
1175,"ARDELEAN","Nichifor","M","Nichifor.ARDELEAN@yahoo.com","0799831742","4","85",7588
1176,"TURCU","Niculiță","M","Niculiță.TURCU@gmail.com","0702197907","3","72",6464
1177,"CIOCAN","Constanța","F","Constanța.CIOCAN@yahoo.com","0703225887","7","83",6314
1178,"STANCIU","Cristofor","M","Cristofor.STANCIU@yahoo.com","0789542015","2","34",1989
1179,"VASILE","Ruxandra","F","Ruxandra.VASILE@yahoo.com","0762563545","5","61",4978
1180,"OPRIS","Trandafir","M","Trandafir.OPRIS@gmail.com","0791676414","1","91",10556
1181,"GRIGORAS","Sabin","M","Sabin.GRIGORAS@yahoo.com","0767049921","5","62",5292
1182,"BLAGA","Horea","M","Horea.BLAGA@yahoo.com","0779015537","4","70",4020
1183,"IVAN","Magdalena","F","Magdalena.IVAN@yahoo.com","0795226595","3","90",7930
1184,"IORDACHE","Petrișor","M","Petrișor.IORDACHE@yahoo.com","0765564791","1","62",5296
1185,"GABOR","Sorina","F","Sorina.GABOR@yahoo.com","0769410226","6","76",6125
1186,"TURCU","Ernest","M","Ernest.TURCU@yahoo.com","0785475811","6","74",3946
1187,"SERBAN","Matei","M","Matei.SERBAN@yahoo.com","0721860552","3","19",2623
1188,"RADOI","Adriana","F","Adriana.RADOI@yahoo.com","0713569257","3","44",6545
1189,"BLAGA","Constantin","M","Constantin.BLAGA@yahoo.com","0720447339","1","27",2235
1190,"BIRO","Aleodor","M","Aleodor.BIRO@yahoo.com","0704107657","1","38",2689
1191,"SERBAN","Draga","F","Draga.SERBAN@gmail.com","0733811253","8","60",4553
1192,"MOLDOVAN","Mitică","M","Mitică.MOLDOVAN@yahoo.com","0752118608","3","26",3509
1193,"SERBAN","Rafael","M","Rafael.SERBAN@gmail.com","0734117510","2","40",5568
1194,"RADU","Savina","F","Savina.RADU@yahoo.com","0758891230","6","12",2669
1195,"STANCU","Oliver","M","Oliver.STANCU@yahoo.com","0785492208","1","69",3666
1196,"OLARIU","Costel","M","Costel.OLARIU@gmail.com","0794696662","1","84",6926
1197,"MOCANU","Eric","M","Eric.MOCANU@yahoo.com","0783677883","6","62",5388
1198,"DANCIU","Valentin","M","Valentin.DANCIU@yahoo.com","0788711533","8","11",2513
1199,"VASILE","Consuela","F","Consuela.VASILE@gmail.com","0724226928","2","95",9364
1200,"ANDREI","Frusina","F","Frusina.ANDREI@yahoo.com","0753645782","3","67",6031
1201,"MUNTEAN","Lenuța","F","Lenuța.MUNTEAN@yahoo.com","0761729396","1","37",2705
1202,"VASILE","Gherasim","M","Gherasim.VASILE@yahoo.com","0784249395","8","13",2634
1203,"HORVATH","Tudosia","F","Tudosia.HORVATH@yahoo.com","0797862517","6","4",2074
